ID,Name,Rarity,Magical Abilities,Durability,Cost
1,Sword of Emberflame,Rare,Emits fire,50,2
2,Amulet of the Fallen,Very Rare,Grants invisibility for 1 hour per day,60,55
3,Wand of Frostbite,Uncommon,Shoots a frost bolt 2d4 cold damage,20,80
4,Staff of the Oracle,Legendary,Provides visions of the future +3 to wisdom-based rolls,100,120
5,Cloak of Shadows,Rare,Grants advantage on stealth checks blends into darkness,40,300
6,Dagger of Whispering,Common,Can send silent messages up to 60 feet,15,200
7,Helm of the Guardian,Very Rare,Summons a magical shield absorbs up to 50 damage,80,750
8,Ring of Featherfall,Uncommon,Slows falling speed negates fall damage,25,120
9,Gauntlets of Giants,Rare,Increases strength to 22 while worn,60,450
10,Orb of Arcane Storms,Legendary,Summons a storm dealing 4d6 lightning damage in 30 ft.,100,150
11,Boots of Swiftness,Uncommon,Increases speed by 15 feet,35,100
12,Shield of the Mountain,Rare,Grants +2 AC cannot be knocked down,80,600
13,Pendant of Life,Very Rare,Heals 4d8 HP once per day,70,900
14,Lantern of True Sight,Legendary,Reveals invisible creatures and illusions,50,130
15,Bracers of Archery,Rare,Grants +2 to ranged attacks with bows,40,220
16,Crown of Dominion,Legendary,Grants control over weak-minded beings,90,200
17,Ring of Eternal Flame,Very Rare,Can create fire immune to fire damage,40,500
18,Armor of the Eternal,Legendary,Grants resistance to all damage,120,180
19,Gloves of Precision,Rare,Grants perfect accuracy on thrown weapons,50,275
20,Belt of the Bear,Uncommon,Increases Constitution by +2,45,180
21,Bow of Whispering Winds,Rare,Shoots silent arrows +1 to attack and damage rolls,60,350
22,Chalice of Regeneration,Very Rare,Heals 2d8 HP when drinking from it once per short rest,30,800
23,Cape of the Phoenix,Legendary,Grants flight and resurrects user once,90,250
24,Scroll of Time-Warp,Very Rare,Allows user to rewind time by 10 seconds,1,150
25,Necklace of the Depths,Rare,Allows breathing underwater and swim speed equal to walk speed,50,400
26,Sword of the Planeswalker,Legendary,Can shift between dimensions deals 3d6 force damage,120,185
27,Shield of Eternal Vigilance,Very Rare,Grants immunity to sleep and charm effects,85,900
28,Rod of Thunder,Uncommon,Casts Thunderwave (2nd level spell),30,150
29,Gauntlet of the Forge,Rare,Can melt metal and repair items,55,300
30,Mask of the Wild Hunt,Very Rare,Grants advantage on tracking creatures and survival checks,40,650
31,Mirror of the Lost,Legendary,Shows hidden or invisible creatures in its reflection,70,140
